Mass	ethyne	ethene	ethane	1butanal	1butanol	1butene	1pentene	2butanone	2buten1ol(crotyl alcohol)	2butenalE(crotonaldehyde)	2butenalZ(crotonaldehyde)	2buteneE	2buteneZ	2methylbut1ene	2methylbut2ene	2pentanone	2penteneE	2penteneZ	3methylbut1ene	3pentanone	13butadiene	acetaldehyde	aceticacid	acetone	butane	carbon dioxide	carbon monoxide	diatomicHydrogen	diethylether	ethanol	ethylacetate	hexane	isobutene	methane	pentane	propane	propene	water
20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2432146237963209	6.319390279023604	0.0
21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.60680872322217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24.0	6.280193236714977	3.2459016393442623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25.0	22.07729468599034	10.0	3.718446601941748	0.0	0.0	3.9565101383640258	0.0	0.0	3.5441163148101746	11.378474586386565	12.49857783514392	2.8567647552499156	2.402573353528317	0.0	0.0	1.4481694928128357	0.0	0.0	0.0	0.0	5.638604922460981	3.0458883085721666	1.691691755685684	7.763365032269391	0.0	0.0	0.0	0.0	0.0	3.7059492271871606	0.0	0.0	2.0535736822576127	0.0	0.0	0.0	5.182450082722928	0.0
26.0	100.0	60.81967213114754	22.621359223300974	11.333129610816757	19.824237013163913	34.26944861532473	14.353365236195982	7.117343168149154	18.108410354430433	38.893831721716936	50.61694815440793	34.08699845313963	30.61423123215117	8.441500036642019	10.3676760462795	16.50041345769809	10.949509748907953	11.382789248015547	13.176835391014091	5.072859678527592	33.00110503725194	6.643280706904295	2.0078230332561136	28.342369752906084	15.883014821779836	0.0	0.0	0.0	4.4199466118749955	14.089473827497962	10.724763678032971	7.780376785627188	24.860774880440616	0.0	11.76418366891438	11.023731737686363	28.73158102872738	0.0
27.0	2.077294685990338	61.967213114754095	32.33009708737865	100.0	78.51572383800531	99.03285262199121	99.5780892718119	53.77786881459705	64.35314640435998	100.0	100.0	100.0	94.45763812404142	73.66140400981416	85.28451754387658	100.0	74.78217398882944	76.7351832706044	100.0	23.840782346393702	100.0	4.102989466140186	0.0	38.15659312458755	100.0	0.0	0.0	0.0	26.195823008161025	30.275832574156198	49.7261115751411	85.61897795115401	100.0	0.0	100.0	47.932974431732426	100.0	0.0
28.0	0.0	100.0	100.0	23.7437240037111	25.422170583775955	100.0	12.215267600516185	18.931710578501207	20.885789108541562	0.0	0.0	86.66102077596751	100.0	8.896824058611141	10.733104784652115	4.8766800979688325	5.317638275270994	5.286555318337073	15.156583957360244	7.7492824408716	64.80564352883835	3.5298548943413435	14.56228181135576	6.130424510724448	77.87861689372497	63.41718722282431	100.0	0.0	6.455457438164608	4.375506515062455	19.01815674552633	18.9441964552224	94.30830225369884	0.0	13.907569168281483	63.033123113238275	3.3934037862189528	0.0
29.0	0.0	2.0327868852459017	21.2621359223301	79.93544120960988	46.33402464702309	43.15731741492094	100.0	100.0	100.0	69.6475758865153	82.81506505484359	49.36998310266332	51.320648504695725	100.0	100.0	18.18305011489444	100.0	100.0	76.29174811072761	100.0	1.4159535384778235	100.0	28.17709981283116	17.096067584047546	97.92168729412506	0.0	0.0	0.0	50.46820650220003	35.288731883126516	100.0	100.0	43.954405242919464	0.0	62.96722910157888	100.0	0.0	0.0
30.0	0.0	0.0	20.97087378640777	1.646605809182461	0.0	1.2755921910414316	1.761579635950418	0.0	4.734581798085823	3.3016126684117717	0.0	1.61180350877489	2.091413895748755	2.433669804207938	1.7700122814073374	0.0	2.1018392768644434	1.8404955977401334	1.6324825504760523	2.163496532095176	0.0	0.0	1.2271660162386755	0.0	2.088549196387514	0.0	0.0	0.0	1.4097306927112805	8.873653662647753	5.214119579173951	1.9813777216067219	2.234516861217912	0.0	1.2839604821601331	2.0338589966226226	0.0	0.0
